review_status,final_label,review_comment,source_file,channel_short,date,proposed_label,source_strategy,keyword_hits,text,clean_text
,,,aviadispet4er.csv,aviadispet4er,2025-11-01T12:39:33+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации | Экономика,"**Как не лишиться ручной клади, вылетая из аэропорта Шереметьево**

За последнее время наша редакция узнала сразу о нескольких однотипных случаях с пассажирами, вылетавшими из аэропорта Шереметьево.

Итак, приходит пассажир на гейт, а тут выясняется, что его ручная кладь – слишком большого размера и в салон её нельзя брать по правилам авиакомпании. В этом случае ручная кладь отправляется в багажный отсек, в большинстве случаев с доплатой.

Однако по прилёте пассажир идёт в зону выдачи багажа и… не обнаруживает своих вещей. А поскольку со слишком большой ручной кладью летают чаще всего те, кто пытается весь необходимый в поездке скарб уместить в единственный чемодан или спортивную сумку, это становится особенно критичной проблемой: ни зубной щётки у тебя при себе нет, ни чистых трусов.

После нескольких минут стресса выясняется, что ручная кладь, превратившаяся в багаж, прилетит следующим рейсом. Хорошо, если этих рейсов много каждый день – как, например, в Санкт-Петербург. А если следующий только завтра? Или послезавтра? Сплошные неудобства.

Почему так происходит? Объяснение очень простое. Если ручная кладь сдаётся в багаж, то она должна пройти предполётный досмотр. Но зачем? Ведь пассажир же уже прошёл с ней досмотр, достал и включил все ноутбуки, выпил остатки взятого в дорогу кефира, выкинул ножи и гранаты… Он в чистой зоне!

Однако правила досмотра багажа отличаются от правил досмотра ручной клади. Самое элементарное: в ручной клади можно провозить пауэрбанк, а в багаже – нет. Если не досмотреть ручную кладь перед отправкой в багаж, этот самый пауэрбанк может бесконтрольно попасть в багажный отсек. Не положено!

А процесс этот занимает время. Поскольку сверхгабаритная «ручка» обнаруживается уже во время посадки, то она в большинстве случаев просто не успевает отправиться на досмотр и потом приехать на борт, самолёт к тому времени уже улетит. А тот же «Аэрофлот» старательно выдерживает расписание и точно не будет ждать такой багаж, тем более пассажир сам виноват в сложившейся ситуации.

Конечно, габариты ручной клади оценивают ещё и на стойке регистрации, но с электронным посадочным талоном пассажир просто туда не доходит.

Аэропорт Шереметьево в ответ на запрос FrequentFlyers.ru подчеркнул, что в случае, если представитель перевозчика принимает решение о переводе в багаж предмета ручной клади пассажира, то размещение в багажных и грузовых отсеках ВС ручной клади пассажиров должно производиться после прохождения ее повторного досмотра в соответствии с требованиями и ограничениями, предъявляемыми к багажу (телеграмма Росавиации от 2022 г.)

«Решение об отказе в размещении ручной клади в салоне воздушного судна принимается исключительно представителем перевозчика. Решение о маршруте багажа принимает перевозчик в зависимости от времени, оставшегося до планового времени вылета ВС, удаленности места стоянки ВС от здания терминала аэропорта, места проведения досмотра багажа, количества дополнительных мест багажа, принятого к перевозке и т.д. Обязанностью перевозчика в данном случае является выпуск багажной бирки в соответствии с маршрутом пассажира и передачи информации сотруднику обслуживающей компании аэропорта для дальнейшей отправки багажа в соответствии с маршрутом.

Регламент действий сотрудников обслуживающей компании/аэропорта, выполняющих функции обработки и досмотра багажа, определяется требованиями перевозчика и выполняется в соответствии с требованиями авиационных властей РФ», – прокомментировала пресс-служба аэропорта.

Лучший совет в такой ситуации – просто помнить о ней и не пытаться протащить в самолёт вещи, которые значительно крупнее установленных габаритов. Небольшое отклонение вряд ли кто-то заметит, особенно если вы летите не лоукостером, а «Аэрофлотом» или «Россией», которые практически не проверяют ручную кладь на гейтах. Просто не наглейте 😉

https://www.frequentflyers.ru/2025/11/01/svo_cabin_size/

@frequentflyers",как не лишиться ручной клади вылетая из аэропорта шереметьево за последнее время наша редакция узнала сразу о нескольких однотипных случаях с пассажирами вылетавшими из аэропорта шереметьево итак приходит пассажир на гейт а тут выясняется что его ручная кладь слишком большого размера и в салон её нельзя брать по правилам авиакомпании в этом случае ручная кладь отправляется в багажный отсек в большинстве случаев с доплатой однако по прилёте пассажир идёт в зону выдачи багажа и не обнаруживает своих вещей а поскольку со слишком большой ручной кладью летают чаще всего те кто пытается весь необходимый в поездке скарб уместить в единственный чемодан или спортивную сумку это становится особенно критичной проблемой ни зубной щётки у тебя при себе нет ни чистых трусов после нескольких минут стресса выясняется что ручная кладь превратившаяся в багаж прилетит следующим рейсом хорошо если этих рейсов много каждый день как например в санкт петербург а если следующий только завтра или послезавтра сплошные неудобства почему так происходит объяснение очень простое если ручная кладь сдаётся в багаж то она должна пройти предполётный досмотр но зачем ведь пассажир же уже прошёл с ней досмотр достал и включил все ноутбуки выпил остатки взятого в дорогу кефира выкинул ножи и гранаты он в чистой зоне однако правила досмотра багажа отличаются от правил досмотра ручной клади самое элементарное в ручной клади можно провозить пауэрбанк а в багаже нет если не досмотреть ручную кладь перед отправкой в багаж этот самый пауэрбанк может бесконтрольно попасть в багажный отсек не положено а процесс этот занимает время поскольку сверхгабаритная ручка обнаруживается уже во время посадки то она в большинстве случаев просто не успевает отправиться на досмотр и потом приехать на борт самолёт к тому времени уже улетит а тот же аэрофлот старательно выдерживает расписание и точно не будет ждать такой багаж тем более пассажир сам виноват в сложившейся ситуации конечно габариты ручной клади оценивают ещё и на стойке регистрации но с электронным посадочным талоном пассажир просто туда не доходит аэропорт шереметьево в ответ на запрос frequentflyers ru подчеркнул что в случае если представитель перевозчика принимает решение о переводе в багаж предмета ручной клади пассажира то размещение в багажных и грузовых отсеках вс ручной клади пассажиров должно производиться после прохождения ее повторного досмотра в соответствии с требованиями и ограничениями предъявляемыми к багажу телеграмма росавиации от 2022 г решение об отказе в размещении ручной клади в салоне воздушного судна принимается исключительно представителем перевозчика решение о маршруте багажа принимает перевозчик в зависимости от времени оставшегося до планового времени вылета вс удаленности места стоянки вс от здания терминала аэропорта места проведения досмотра багажа количества дополнительных мест багажа принятого к перевозке и т д обязанностью перевозчика в данном случае является выпуск багажной бирки в соответствии с маршрутом пассажира и передачи информации сотруднику обслуживающей компании аэропорта для дальнейшей отправки багажа в соответствии с маршрутом регламент действий сотрудников обслуживающей компании аэропорта выполняющих функции обработки и досмотра багажа определяется требованиями перевозчика и выполняется в соответствии с требованиями авиационных властей рф прокомментировала пресс служба аэропорта лучший совет в такой ситуации просто помнить о ней и не пытаться протащить в самолёт вещи которые значительно крупнее установленных габаритов небольшое отклонение вряд ли кто то заметит особенно если вы летите не лоукостером а аэрофлотом или россией которые практически не проверяют ручную кладь на гейтах просто не наглейте
,,,aviadispet4er.csv,aviadispet4er,2025-10-30T19:01:36+00:00,ИТ и телекоммуникации,keyword_review,"ИТ и телекоммуникации | Общество, государство, политика | Экономика","**Бесшумный сверхзвук: самолёт X-59 совершил первый полёт**

На этой неделе совершил первый полёт самолёт-демонстратор Lockheed Martin X-59 QueSST. QueSST – это не «квест», а Quiet Supersonic Transport, то есть, «тихий сверхзвуковой транспортный самолёт».

Что значит «тихий»? Разработчики обещают, что создаваемый им шум будет не громче 75 дБ. Это примерно как рядом с вами хлопнуть дверью. Конечно, это намного тише грохота «Конкордов» и Ту-144 (105-110 дБ, это как отбойный молоток), из-за которого, например, в США запретили сверхзвуковые полёты над землёй ещё в начале семидесятых. Но и постоянно слушать такой звук, если все пассажирские самолёты станут сверхзвуковыми – неприятно. Впрочем, все и не станут, но об этом позже.

Как удалось достичь снижения уровня шума? Основных решений два: это увеличение стреловидности крыла, а также относительно низкая скорость – всего 1,42 Маха в крейсерском режиме (у самолётов шестидесятых годов она была более 2 М). За счёт этого и уменьшается амплитуда ударной волны, которая следует за самолётом, распространяется до земли и воспринимается как однократный громкий звук.

Пока демонстратор, впрочем, на сверхзвуке не летал, так что каким будет реальный уровень шума, никто не знает – как, впрочем, и другие лётно-технические характеристики пока неизвестны. Однако размеры (29 метров в длину, из которых на пассажирский салон будет приходиться в районе 10) говорят о том, что получится не самолёт для регулярных перевозок, а бизнес-джет для VIP-персон, которым нужно быстро добраться до какого-нибудь саммита или форума.

Массовых же перевозок на сверхзвуке ждать не стоит из-за их дороговизны – даже если билет будет стоить всего в два раза дороже, чем на дозвуковом самолёте, большинство пассажиров не будет готово переплачивать. Максимальная дальность полёта всё равно будет ограничена трансатлантикой, а если учитывать всё время путешествия (дорога в аэропорт, процедуры досмотра и контроля, ожидание и т.д.), то относительная экономия времени не так уж и значительна – всего несколько часов. При этом современный уровень развития телекоммуникаций в принципе сокращает количество необходимых перелётов для решения срочных вопросов: все эти ваши «Зумы» с «Телемостами» и прочие «Телепрезенсы» появились относительно недавно.

А почему американцы так и не построили сверхзвуковой самолёт в шестидесятых, хотя было несколько проектов, читайте здесь:

https://www.frequentflyers.ru/2020/05/08/usa_supersonic/

@frequentflyers",бесшумный сверхзвук самолёт x 59 совершил первый полёт на этой неделе совершил первый полёт самолёт демонстратор lockheed martin x 59 quesst quesst это не квест а quiet supersonic transport то есть тихий сверхзвуковой транспортный самолёт что значит тихий разработчики обещают что создаваемый им шум будет не громче 75 дб это примерно как рядом с вами хлопнуть дверью конечно это намного тише грохота конкордов и ту 144 105 110 дб это как отбойный молоток из за которого например в сша запретили сверхзвуковые полёты над землёй ещё в начале семидесятых но и постоянно слушать такой звук если все пассажирские самолёты станут сверхзвуковыми неприятно впрочем все и не станут но об этом позже как удалось достичь снижения уровня шума основных решений два это увеличение стреловидности крыла а также относительно низкая скорость всего 1 42 маха в крейсерском режиме у самолётов шестидесятых годов она была более 2 м за счёт этого и уменьшается амплитуда ударной волны которая следует за самолётом распространяется до земли и воспринимается как однократный громкий звук пока демонстратор впрочем на сверхзвуке не летал так что каким будет реальный уровень шума никто не знает как впрочем и другие лётно технические характеристики пока неизвестны однако размеры 29 метров в длину из которых на пассажирский салон будет приходиться в районе 10 говорят о том что получится не самолёт для регулярных перевозок а бизнес джет для vip персон которым нужно быстро добраться до какого нибудь саммита или форума массовых же перевозок на сверхзвуке ждать не стоит из за их дороговизны даже если билет будет стоить всего в два раза дороже чем на дозвуковом самолёте большинство пассажиров не будет готово переплачивать максимальная дальность полёта всё равно будет ограничена трансатлантикой а если учитывать всё время путешествия дорога в аэропорт процедуры досмотра и контроля ожидание и т д то относительная экономия времени не так уж и значительна всего несколько часов при этом современный уровень развития телекоммуникаций в принципе сокращает количество необходимых перелётов для решения срочных вопросов все эти ваши зумы с телемостами и прочие телепрезенсы появились относительно недавно а почему американцы так и не построили сверхзвуковой самолёт в шестидесятых хотя было несколько проектов читайте здесь
,,,aviadispet4er.csv,aviadispet4er,2025-10-29T18:21:34+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации,"**🐒 Блогер смог научить обезьяну пилотированию.**

Ютубер ChrisDaCow провёл эксперимент: обезьяна по имени Теко прошла путь от виртуального пилота до управления настоящим радиоуправляемым самолётом.

Сначала Теко тренировался в Minecraft и авиасимуляторе, где отрабатывал взлёт и посадку. Затем касания его экрана подключили к пульту настоящего самолёта, а изображение передавалось обратно на монитор.

В результате бонобо смог самостоятельно взлететь и посадить самолёт.

😁 — точно наш предок

🫶 Подпишись на Ленту дня: [MAX](https://max.ru/lentaru) | [ТГ](https://t.me/lentadnya)
🎁 [Участвуй в розыгрыше](https://t.me/lentadnya/141599)",блогер смог научить обезьяну пилотированию ютубер chrisdacow провёл эксперимент обезьяна по имени теко прошла путь от виртуального пилота до управления настоящим радиоуправляемым самолётом сначала теко тренировался в minecraft и авиасимуляторе где отрабатывал взлёт и посадку затем касания его экрана подключили к пульту настоящего самолёта а изображение передавалось обратно на монитор в результате бонобо смог самостоятельно взлететь и посадить самолёт точно наш предок подпишись на ленту дня max тг участвуй в розыгрыше
,,,aviadispet4er.csv,aviadispet4er,2025-10-28T14:33:02+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации,"**""Внуково"" будет искать багаж с помощью ИИ.**

Московский аэропорт тестирует отечественную станцию ""BAGS поиск"" (разработка АО ""Авиакод"", ""дочки"" ""Аэропортов регионов""). Система использует искусственный интеллект, чтобы оптимизировать работу служб розыска багажа.

Если раньше агентам приходилось вручную заносить данные о потерянном багаже в систему розыска, то теперь достаточно поместить багаж в устройство, которое автоматически анализирует его параметры: размеры, форму, цвет и т.д. Решение должно заменить зарубежные аналоги и ""превосходит их по функциональности"", отмечает VKO. 

Систему ""Bags поиск"" запустили еще в 2023 году. Сейчас ее [используют](https://t.me/premni/9312) 14 авиакомпаний, включая четыре из стран СНГ, а также 62 аэропорта. Конкретно станции с ИИ не так распространены – до ""Внуково"" их [установили](https://t.me/premni/8923) в ""Пулково"" и ""Кольцово"".

VKO принимает и другие меры, чтобы упростить и ускорить розыск багажа. Недавно аэропорт [подключился](https://t.me/premni/9361) к ""Bags Поиск"", что позволило пассажирам подавать заявки на поиск чемоданов онлайн, но пока только при перелете внутренними рейсами. 

Проблемы чаще происходят на зарубежных направлениях. Иностранные авиакомпании (чаще [Turkish Airlines,](https://t.me/premni/9409) но иногда и другие: Ajet, [Nouvelair Tunisie,](https://t.me/premni/9412) [Pegasus Airlines](https://t.me/vnukovoairport_VKO/2112)) порой не загружают на рейсы в Россию десятки, а то и сотни чемоданов. 

Поэтому упрощение формальностей очень актуально – важно, чтобы процесс воссоединения пассажиров с их вещами происходил как можно быстрее и без лишней бюрократии.

™️ [Пристегните ремни](https://t.me/+RA5psqvIuiBkZTE1)",внуково будет искать багаж с помощью ии московский аэропорт тестирует отечественную станцию bags поиск разработка ао авиакод дочки аэропортов регионов система использует искусственный интеллект чтобы оптимизировать работу служб розыска багажа если раньше агентам приходилось вручную заносить данные о потерянном багаже в систему розыска то теперь достаточно поместить багаж в устройство которое автоматически анализирует его параметры размеры форму цвет и т д решение должно заменить зарубежные аналоги и превосходит их по функциональности отмечает vko систему bags поиск запустили еще в 2023 году сейчас ее используют 14 авиакомпаний включая четыре из стран снг а также 62 аэропорта конкретно станции с ии не так распространены до внуково их установили в пулково и кольцово vko принимает и другие меры чтобы упростить и ускорить розыск багажа недавно аэропорт подключился к bags поиск что позволило пассажирам подавать заявки на поиск чемоданов онлайн но пока только при перелете внутренними рейсами проблемы чаще происходят на зарубежных направлениях иностранные авиакомпании чаще turkish airlines но иногда и другие ajet nouvelair tunisie pegasus airlines порой не загружают на рейсы в россию десятки а то и сотни чемоданов поэтому упрощение формальностей очень актуально важно чтобы процесс воссоединения пассажиров с их вещами происходил как можно быстрее и без лишней бюрократии пристегните ремни
,,,aviadispet4er.csv,aviadispet4er,2025-10-28T10:06:34+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации | Экономика | Происшествия,"**«Боинг 767» пришлось срочно сажать из-за половой щели**

Уникальный случай произошёл в октябре на рейсе авиакомпании United Airlines из Вашингтона в Рим. Boeing 767-400ER совершил разворот над Атлантикой и вернулся в аэропорт вылета из-за щели в полу.

В эту щель, образовавшуюся в районе примыкания панелей пола к обшивке, случайно провалился ноутбук одного из пассажиров. Угодил он прямо в багажный отсек. Однако ноутбуки имеют встроенные литий-ионные батареи, а их нельзя провозить в багажном отсеке из-за возможного самовоспламенения. Загореться батарея может и в салоне, но в багажном отделении этого никто не обнаружит до того момента, как начнётся крупный пожар.

А тут риски ещё больше: раз ноутбук упал, значит, батарея от удара имела большие шансы повредиться – загораются обычно аккумуляторы, потерявшие герметичность. Да и куда он упал – неизвестно. Возможно, застрял где-то вне зоны действия систем пожаротушения. Поэтому командир принял решение вернуться в аэропорт вылета.

Через два с небольшим часа после вылета самолёт совершил успешную посадку. Ноутбук достали, снова заправились и прибыли в Рим на 5 часов позже расписания.

Ранее таких случаев не происходило. Бывало, что смартфон проваливался в вентиляционное отверстие в боковой панели (есть подозрение, что пассажир намеренно его туда засовывал), а ноутбук проваливался в кресло бизнес-класса и застревал внутри: в этих случаях самолёты также возвращались в аэропорты вылета.

Пол в пассажирском салоне самолёта состоит из панелей, лежащих на горизонтальных балках. Между панелями имеются зазоры для компенсации деформаций фюзеляжа (он не насколько жёсткий: понаблюдайте, как «гуляют» багажные полки на пробеге по ВПП). Обычно зазоры закрываются заглушками. Куда делась заглушка в этом «Боинге», мы, к сожалению, не знаем.

https://www.frequentflyers.ru/2025/10/28/ua126/

@frequentflyers",боинг 767 пришлось срочно сажать из за половой щели уникальный случай произошёл в октябре на рейсе авиакомпании united airlines из вашингтона в рим boeing 767 400er совершил разворот над атлантикой и вернулся в аэропорт вылета из за щели в полу в эту щель образовавшуюся в районе примыкания панелей пола к обшивке случайно провалился ноутбук одного из пассажиров угодил он прямо в багажный отсек однако ноутбуки имеют встроенные литий ионные батареи а их нельзя провозить в багажном отсеке из за возможного самовоспламенения загореться батарея может и в салоне но в багажном отделении этого никто не обнаружит до того момента как начнётся крупный пожар а тут риски ещё больше раз ноутбук упал значит батарея от удара имела большие шансы повредиться загораются обычно аккумуляторы потерявшие герметичность да и куда он упал неизвестно возможно застрял где то вне зоны действия систем пожаротушения поэтому командир принял решение вернуться в аэропорт вылета через два с небольшим часа после вылета самолёт совершил успешную посадку ноутбук достали снова заправились и прибыли в рим на 5 часов позже расписания ранее таких случаев не происходило бывало что смартфон проваливался в вентиляционное отверстие в боковой панели есть подозрение что пассажир намеренно его туда засовывал а ноутбук проваливался в кресло бизнес класса и застревал внутри в этих случаях самолёты также возвращались в аэропорты вылета пол в пассажирском салоне самолёта состоит из панелей лежащих на горизонтальных балках между панелями имеются зазоры для компенсации деформаций фюзеляжа он не насколько жёсткий понаблюдайте как гуляют багажные полки на пробеге по впп обычно зазоры закрываются заглушками куда делась заглушка в этом боинге мы к сожалению не знаем
,,,aviadispet4er.csv,aviadispet4er,2025-10-26T13:34:02+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации | Экономика | Происшествия,"**Пожарные дроны с ИИ получат миллионы долларов на развитие.**

☝  Американский стартап Seneca привлек $60 млн на развитие своей беспилотной системы пожаротушения, которая может запускаться дистанционно из любой точки мира и использует ИИ для навигации. Нести такой аппарат способен полезную нагрузку массой 45 кг.

Достаточно знать только приблизительное место возгорания, а искусственный интеллект на борту беспилотника обнаружит огонь и в автоматизированном режиме потушит его. Ну или попытается, что сократит время реагирования пожарных служб до 10 минут и позволит бороться с пожарами на начальном их этапе.

™️ [Беспилот](https://t.me/+HFw21CPwaIJkOTQ1)",пожарные дроны с ии получат миллионы долларов на развитие американский стартап seneca привлек 60 млн на развитие своей беспилотной системы пожаротушения которая может запускаться дистанционно из любой точки мира и использует ии для навигации нести такой аппарат способен полезную нагрузку массой 45 кг достаточно знать только приблизительное место возгорания а искусственный интеллект на борту беспилотника обнаружит огонь и в автоматизированном режиме потушит его ну или попытается что сократит время реагирования пожарных служб до 10 минут и позволит бороться с пожарами на начальном их этапе беспилот
,,,aviadispet4er.csv,aviadispet4er,2025-10-23T09:33:01+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации | Экономика,"**Shield AI показала реактивный дрон X-BAT под управлением ИИ.**

⚙️  Компания [Shield AI](https://t.me/bes_pilot/2549) создает модульный реактивный малозаметный БПЛА **X-BAT**, который будет управляться искусственным интеллектом. Предполагается, что беспилотник сможет выполнять различные задачи - от разведки до ударных миссий.

Какие характеристики обещают:

📌  длина - около 8 м; 
📌  размах крыла - 12 м; 
📌  потолок - 16 км;
📌  дальность - до 3 700 км.

Управляться БПЛА будет системой ИИ, что минимизирует участие оператора и позволит работать в отсутствии связи и навигации. Садиться и взлетать БПЛА будет вертикально, что сэкономит место для морской версии - как ожидается, американский десантный корабль сможет нести 60 X-BAT. 

💵  Прототип уже прошёл аэродинамические испытания, а первые полёты запланированы на 2028 год. Что касается стоимости, то её обещают удержать в пределах $20–30 млн - довольно дорого и такой вариант может проиграть дешевым камикадзе.

™️ [Беспилот](https://t.me/+HFw21CPwaIJkOTQ1)",shield ai показала реактивный дрон x bat под управлением ии компания shield ai создает модульный реактивный малозаметный бпла x bat который будет управляться искусственным интеллектом предполагается что беспилотник сможет выполнять различные задачи от разведки до ударных миссий какие характеристики обещают длина около 8 м размах крыла 12 м потолок 16 км дальность до 3 700 км управляться бпла будет системой ии что минимизирует участие оператора и позволит работать в отсутствии связи и навигации садиться и взлетать бпла будет вертикально что сэкономит место для морской версии как ожидается американский десантный корабль сможет нести 60 x bat прототип уже прошёл аэродинамические испытания а первые полёты запланированы на 2028 год что касается стоимости то её обещают удержать в пределах 20 30 млн довольно дорого и такой вариант может проиграть дешевым камикадзе беспилот
,,,aviadispet4er.csv,aviadispet4er,2025-10-20T13:33:58+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации,"**Прямые рейсы из Эр-Рияда в Петербург запустят в 2026 году.** Расширить географию полётов до Северной столицы и Сочи [планирует](https://www.fontanka.ru/2025/10/20/76082596/) саудовский лоукостер Flynas.

«Увеличится и частота рейсов из Эр-Рияда в Москву — до семи в неделю», — сообщил исполнительный директор Бандер Альмоханна в рамках презентации в Саудовской Аравии приложения для иностранных туристов в России Visit Russia.

@fontankaspb",прямые рейсы из эр рияда в петербург запустят в 2026 году расширить географию полётов до северной столицы и сочи планирует саудовский лоукостер flynas увеличится и частота рейсов из эр рияда в москву до семи в неделю сообщил исполнительный директор бандер альмоханна в рамках презентации в саудовской аравии приложения для иностранных туристов в россии visit russia
