source_file,channel_short,date,proposed_label,source_strategy,keyword_hits,text,clean_text
aviadispet4er.csv,aviadispet4er,2026-05-23T18:02:02+00:00,ИТ и телекоммуникации,keyword_review,ИТ и телекоммуникации,"🙂 **С чем связано появление спарки Су-57, какие функции он будет выполнять и какова роль второго пилота в боевой авиации будущего? **

Дорогие читатели, в свете появления на свет этого интереснейшего аппарата на свет, **мы побеседовали с исполнительным директором агентства Авиапорт, Олегом Пантелеевым**, который поделился своим мнением по этому поводу. 

Мы уверены, что нет ни одного любителя авиации, которого не заинтересовали бы затронутые нами вопросы. Поэтому, если вы вдруг упустили наше интервью, **приглашаем вас ознакомиться с ним!** 

🙂 [Связано ли появление ""на публике"" спарки Су-57 с возросшим интересом наших азиатских партнёров именно в этой конфигурации платформы?](https://t.me/aviasalonmaks/25437)

🙂 [Какое влияние может иметь увеличенный в размерах фонарь кабины на аэродинамические характеристики и радиолокационную скрытность?](https://t.me/aviasalonmaks/25438)

🙂 [С всё более активной интеграцией ИИ, насколько необходимым будет второй пилот в ближайшие десятилетия? Сможет ли ИИ полноценно заменить оператора систем?](https://t.me/aviasalonmaks/25439)

🙂 [Почему только Россия и Китай создали спарки своих истребителей пятого поколения?](https://t.me/aviasalonmaks/25440)

📷 __ОАК__

#Постфактум #ЭкспертноеМнение #Су57 #ЭтоИнтересно

🙂** **[**Подписывайся на нас в MAX**](https://max.ru/aviasalonmaks)
🙂 [**Онлайн-проект eMAKS**](https://www.aviasalon.com/)** 
****🙂**** **[**Авиасалон МАКС в Телеграм**](https://t.me/aviasalonmaks)",с чем связано появление спарки су 57 какие функции он будет выполнять и какова роль второго пилота в боевой авиации будущего дорогие читатели в свете появления на свет этого интереснейшего аппарата на свет мы побеседовали с исполнительным директором агентства авиапорт олегом пантелеевым который поделился своим мнением по этому поводу мы уверены что нет ни одного любителя авиации которого не заинтересовали бы затронутые нами вопросы поэтому если вы вдруг упустили наше интервью приглашаем вас ознакомиться с ним связано ли появление на публике спарки су 57 с возросшим интересом наших азиатских партнёров именно в этой конфигурации платформы какое влияние может иметь увеличенный в размерах фонарь кабины на аэродинамические характеристики и радиолокационную скрытность с всё более активной интеграцией ии насколько необходимым будет второй пилот в ближайшие десятилетия сможет ли ии полноценно заменить оператора систем почему только россия и китай создали спарки своих истребителей пятого поколения оак подписывайся на нас в max онлайн проект emaks авиасалон макс в телеграм
aviadispet4er.csv,aviadispet4er,2026-05-23T17:37:02+00:00,Экономика,keyword_review,Экономика,"🇰🇪 **Небольшое происшествие в Кении
**
Благополучно завершилось авиационное происшествие с самолётом Dornier 228-202, (б/н 5Y-CES) авиакомпании Kaskasi Aviation вчера, 22 мая, в аэропорту Найроби-Уилсон (WIL/HKNW) столицы Кении.

Самолёт совершил посадку с частично вышедшей правой основной стойкой шасси, которая подломилась при касании ВПП.

Пассажиров на борту не было, экипаж не пострадал. Самолёт эксплуатируется компанией KASAS Kenya для Гуманитарной авиационной службы Организации Объединенных Наций (KASAS Kenya for United Nations Humanitarian Air Service).

**🛫️️**** **[**AviaNews**](https://t.me/+iggi1A5K0Cw4MDJi)** **[**в телеграм**](https://t.me/+iggi1A5K0Cw4MDJi)** |  ""**[**Запасной аэродром"" в MAX**](https://max.ru/AviaCT)** ****📲**",небольшое происшествие в кении благополучно завершилось авиационное происшествие с самолётом dornier 228 202 б н 5y ces авиакомпании kaskasi aviation вчера 22 мая в аэропорту найроби уилсон wil hknw столицы кении самолёт совершил посадку с частично вышедшей правой основной стойкой шасси которая подломилась при касании впп пассажиров на борту не было экипаж не пострадал самолёт эксплуатируется компанией kasas kenya для гуманитарной авиационной службы организации объединенных наций kasas kenya for united nations humanitarian air service avianews в телеграм запасной аэродром в max
aviadispet4er.csv,aviadispet4er,2026-05-23T16:33:04+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика | Экономика","🇵🇰 В Россию намерена летать пакистанская авиакомпания Fly Jinnah — посольство страны [направило](https://favt.gov.ru/novosti-novosti-mezhdunarodnogo-sotrudnichestva/?id=18611) соответствующее письмо в Минтранс РФ.

🗯 «Правительство Пакистана назначило компанию М/s Fly Jinnah, пакистанского авиаперевозчика, для осуществления согласованных рейсов между Пакистаном и Россией в соответствии с положениями двустороннего Соглашения о воздушном сообщении», — говорится в письме. 

Между какими городами планируют выполнять полёты — в сообщении не уточняется.

Fly Jinnah — пакистанская бюджетная авиакомпания, cозданная авиакомпанией Air Arabia. Свою коммерческую деятельность она начала в 2022 году. Во флоте у лоукостера [8 самолётов](https://www.flightradar24.com/data/airlines/9p-fjl/fleet) Airbus A320-200.

✈️ @ranarod",в россию намерена летать пакистанская авиакомпания fly jinnah посольство страны направило соответствующее письмо в минтранс рф правительство пакистана назначило компанию м s fly jinnah пакистанского авиаперевозчика для осуществления согласованных рейсов между пакистаном и россией в соответствии с положениями двустороннего соглашения о воздушном сообщении говорится в письме между какими городами планируют выполнять полёты в сообщении не уточняется fly jinnah пакистанская бюджетная авиакомпания cозданная авиакомпанией air arabia свою коммерческую деятельность она начала в 2022 году во флоте у лоукостера 8 самолётов airbus a320 200
aviadispet4er.csv,aviadispet4er,2026-05-23T15:52:46+00:00,Медицина,keyword_review,Медицина | Спорт,"📑 **Сводка событий от 23 мая 2026**

**🛰️ Отказы навигации и связи**

**Оператор БВС Голубенко П.А., БВС Z071770, район н.п. Б. Сидельниково** — потеря связи с БВС, по расчету должен быть на земле, на точку вылета не вернулся, информация передана в силовые структуры.

**АО «КрасАвиа», Як-42 RA-42380, Новосибирск (Толмачево) – Красноярск (Емельяново), рейс SSJ9311** — в полете доложена потеря сигнала GPS, полет продолжен на аэродром назначения.

**Авиакомпания «Скайт гейтс эйрлайнс», Ил-96 RA-96101, Казань – Шицзячжуан, рейс SAY9219/A2462** — под АСКАЛ/АЛУМА отсутствовали доклады и ответы на запросы, радиосвязь восстановлена под МОТОГ.

**⚙️ Отказы систем и индикации**

**АО «Аэрофлот», А-320 RA-73179, Сочи (Адлер) – Стамбул, рейс AFL640** — при разбеге на скорости около 100 км/ч КВС прервал взлет из‑за отказа компьютера, отвечающего за элероны, дальнейший вылет отменен.

**АО «И8», Ми-8АМТ RA-22374, вертолетная площадка Тулун – Иркутск, рейс ИК9170** — после взлета кратковременно загорались табло отказа правого авиагоризонта и «крен велик», затем параметры нормализовались, неисправность устранена по результатам проверки.

**🐦 Столкновения с птицами и БПЛА**

**АО «АТК «ЯМАЛ», А320 RA-73691, Салехард – Тюмень (Рощино), рейс LLM955** — после посадки экипаж доложил о столкновении с птицей на выравнивании, следов на ВПП не обнаружено.

**Авиакомпания «Северсталь», CRJ-200 RA-67230, Великий Устюг – Череповец, рейс SSF115** — при заходе на посадку обнаружена стая гусей на предпосадочной прямой, выполнен уход на второй круг, повторный заход и посадка благополучно.

**🧰 Прочие технические неисправности**

**АО «ИрАэро», CRJ-200 RA-67162, Иркутск – Чита, рейс IAE169** — после выруливания выполнен возврат на стоянку по технической причине, вылет не состоялся.

**📝 Прочие инциденты**

**Авиакомпания «Победа», B737-800 RA-73248, Сочи – Саратов, рейс PBD329** — экипаж доложил PAN PAN из‑за больного пассажира, выполнена приоритетная благополучная посадка, медицинская служба встретила борт.

[Воздушная яма. Подписаться на канал](https://t.me/+hJZpr-if67ozMDNk)",сводка событий от 23 мая 2026 отказы навигации и связи оператор бвс голубенко п а бвс z071770 район н п б сидельниково потеря связи с бвс по расчету должен быть на земле на точку вылета не вернулся информация передана в силовые структуры ао красавиа як 42 ra 42380 новосибирск толмачево красноярск емельяново рейс ssj9311 в полете доложена потеря сигнала gps полет продолжен на аэродром назначения авиакомпания скайт гейтс эйрлайнс ил 96 ra 96101 казань шицзячжуан рейс say9219 a2462 под аскал алума отсутствовали доклады и ответы на запросы радиосвязь восстановлена под мотог отказы систем и индикации ао аэрофлот а 320 ra 73179 сочи адлер стамбул рейс afl640 при разбеге на скорости около 100 км ч квс прервал взлет из за отказа компьютера отвечающего за элероны дальнейший вылет отменен ао и8 ми 8амт ra 22374 вертолетная площадка тулун иркутск рейс ик9170 после взлета кратковременно загорались табло отказа правого авиагоризонта и крен велик затем параметры нормализовались неисправность устранена по результатам проверки столкновения с птицами и бпла ао атк ямал а320 ra 73691 салехард тюмень рощино рейс llm955 после посадки экипаж доложил о столкновении с птицей на выравнивании следов на впп не обнаружено авиакомпания северсталь crj 200 ra 67230 великий устюг череповец рейс ssf115 при заходе на посадку обнаружена стая гусей на предпосадочной прямой выполнен уход на второй круг повторный заход и посадка благополучно прочие технические неисправности ао ираэро crj 200 ra 67162 иркутск чита рейс iae169 после выруливания выполнен возврат на стоянку по технической причине вылет не состоялся прочие инциденты авиакомпания победа b737 800 ra 73248 сочи саратов рейс pbd329 экипаж доложил pan pan из за больного пассажира выполнена приоритетная благополучная посадка медицинская служба встретила борт воздушная яма подписаться на канал
aviadispet4er.csv,aviadispet4er,2026-05-23T14:15:05+00:00,Экономика,keyword_review,"Экономика | Общество, государство, политика | Происшествия","**🇺🇸**** Единственный в мире сертифицированный производитель доставочных дронов готовится к взрывному росту**

Калифорнийская компания Matternet [ожидает](https://aviationweek.com/aerospace/advanced-air-mobility/matternet-eyes-drone-delivery-scale-bvlos-rules-near) резкого роста бизнеса после скорого принятия законов о полётах вне прямой видимости. 

Стартап остаётся единственным обладателем сертификата FAA на коммерческий коптер и лицензии на его серийный выпуск.

Сейчас аппараты перевозят анализы между больницами Лондона и клиниками США. Для снижения издержек инженеры создали наземные микрохабы размером с парковочное место. Умные станции способны самостоятельно менять батареи и загружать посылки.

Глубокая автоматизация позволяет одному диспетчеру контролировать сразу двадцать бортов. Новое американское законодательство поможет логистической отрасли быстро дойти до миллионов ежедневных отправлений.

🔼 [Аэротетраэдр](https://t.me/aerotetrahedron) | #беспилотники",единственный в мире сертифицированный производитель доставочных дронов готовится к взрывному росту калифорнийская компания matternet ожидает резкого роста бизнеса после скорого принятия законов о полётах вне прямой видимости стартап остаётся единственным обладателем сертификата faa на коммерческий коптер и лицензии на его серийный выпуск сейчас аппараты перевозят анализы между больницами лондона и клиниками сша для снижения издержек инженеры создали наземные микрохабы размером с парковочное место умные станции способны самостоятельно менять батареи и загружать посылки глубокая автоматизация позволяет одному диспетчеру контролировать сразу двадцать бортов новое американское законодательство поможет логистической отрасли быстро дойти до миллионов ежедневных отправлений аэротетраэдр
aviadispet4er.csv,aviadispet4er,2026-05-23T12:34:02+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","**Владимир Путин выразил готовность посмотреть на обновленный Ил-114-300 на ПМЭФ**

Президент России Владимир Путин пообещал посмотреть в Пулково на модернизированный региональный самолет Ил-114-300 в дни Петербургского международного экономического форума (ПМЭФ). Об этом сообщает РБК.

«Я постараюсь посмотреть ваш летательный аппарат», — с улыбкой ответил Путин на соответствующее приглашение от одного из выпускников программы «Время героев», первого заместителя директора филиала ОАК — Луховицкого авиационного завода им. П.А.Воронина Дениса Погодина.

Путин также заявил, что на ПМЭФ у него запланировано много мероприятий.

[aviaru.net/n295850](http://aviaru.net/n295850)

Оставайся в информационном потоке, подпишись на [наш канал в MAX](https://max.ru/id7714701702_biz)",владимир путин выразил готовность посмотреть на обновленный ил 114 300 на пмэф президент россии владимир путин пообещал посмотреть в пулково на модернизированный региональный самолет ил 114 300 в дни петербургского международного экономического форума пмэф об этом сообщает рбк я постараюсь посмотреть ваш летательный аппарат с улыбкой ответил путин на соответствующее приглашение от одного из выпускников программы время героев первого заместителя директора филиала оак луховицкого авиационного завода им п а воронина дениса погодина путин также заявил что на пмэф у него запланировано много мероприятий aviaru net n295850 оставайся в информационном потоке подпишись на наш канал в max
aviadispet4er.csv,aviadispet4er,2026-05-23T12:14:56+00:00,Спорт,keyword_review,Спорт | Происшествия,"[**Спорта — смотри и читай самые яркие моменты матчей!**](https://ya.cc/t/5TtM5P419VPSXe/?erid=j1SUmt3hCKHRo3jmB)

- Только спорт. Никаких слухов и посторонних тем. 

- Мы смотрим на спорт глубже! Подробно освещаем лиги ВТБ, ВХЛ и ФНЛ. 

- Поробные статьи о каждом матче. Ход события и главные герои матча.

- Мы создаем хайлайты, в которых только главное: голы, броски, атаки и зрелищные моменты.

Ждём тебя в мире Спорта! 

[**Подписаться**](https://ya.cc/t/HYFiJd349VPSYi/?erid=j1SUmt3hCKHRo3jmB)

#реклама 16+
[О рекламодателе](https://ya.cc/t/KLtcIpzK9VPSYX/?erid=j1SUmt3hCKHRo3jmB)",спорта смотри и читай самые яркие моменты матчей только спорт никаких слухов и посторонних тем мы смотрим на спорт глубже подробно освещаем лиги втб вхл и фнл поробные статьи о каждом матче ход события и главные герои матча мы создаем хайлайты в которых только главное голы броски атаки и зрелищные моменты ждём тебя в мире спорта подписаться 16 о рекламодателе
aviadispet4er.csv,aviadispet4er,2026-05-23T12:04:02+00:00,История,keyword_review,История | Экономика | Спорт,"♟️ **Сколько времени занимает получить слот в перегруженном аэропорту**

В перегруженном аэропорту слот можно ждать годами, а иногда не получить вообще. Заявки подаются дважды в год на сезонных конференциях IATA, за 5–6 месяцев до начала летнего или зимнего сезона. Но в аэропортах вроде Хитроу свободных слотов фактически нет, и тогда единственный быстрый путь получить интервал на взлёт это купить его у другой авиакомпании.

[Слот](https://t.me/skymoments_avia/1697) — это право выполнить взлёт или посадку в строго определённый интервал времени. IATA делит аэропорты на три уровня загрузки. В первом, свободном, слот не нужен. Во втором интервалы согласуют только при умеренной загрузке. В третьем, полностью координируемом, без слота самолёт просто не примут — к нему относятся Хитроу, Франкфурт, Амстердам, Стамбул.

Большинство слотов в крупных аэропортах закреплены за авиакомпаниями исторически. Это так называемое grandfather rights: если перевозчик использовал слот в прошлом сезоне, он сохраняет его на следующий. Чтобы право не пропало, слот нужно задействовать минимум 80% времени, иначе он уходит обратно в общий пул. Именно поэтому авиакомпании иногда выполняют рейсы на полупустых бортах, лишь бы не потерять интервал.

Освободившиеся и новые слоты попадают в этот пул, и половину по правилам отдают новым участникам рынка. Но в перегруженных аэропортах пул почти пуст, и ждать свободного интервала можно бесконечно.

Поэтому слоты начали продавать и обменивать. В 2016 году Oman Air заплатила за одну пару слотов в Хитроу около $75 миллионов, и это до сих пор один из рекордов. Дороже всего стоит удобное утреннее время, на которое приходится пик спроса.

[SkyMoments](https://t.me/+K-OtJfn5tktjZjUy) × [Silent Plane](https://t.me/silent_plane)",сколько времени занимает получить слот в перегруженном аэропорту в перегруженном аэропорту слот можно ждать годами а иногда не получить вообще заявки подаются дважды в год на сезонных конференциях iata за 5 6 месяцев до начала летнего или зимнего сезона но в аэропортах вроде хитроу свободных слотов фактически нет и тогда единственный быстрый путь получить интервал на взлёт это купить его у другой авиакомпании слот это право выполнить взлёт или посадку в строго определённый интервал времени iata делит аэропорты на три уровня загрузки в первом свободном слот не нужен во втором интервалы согласуют только при умеренной загрузке в третьем полностью координируемом без слота самолёт просто не примут к нему относятся хитроу франкфурт амстердам стамбул большинство слотов в крупных аэропортах закреплены за авиакомпаниями исторически это так называемое grandfather rights если перевозчик использовал слот в прошлом сезоне он сохраняет его на следующий чтобы право не пропало слот нужно задействовать минимум 80 времени иначе он уходит обратно в общий пул именно поэтому авиакомпании иногда выполняют рейсы на полупустых бортах лишь бы не потерять интервал освободившиеся и новые слоты попадают в этот пул и половину по правилам отдают новым участникам рынка но в перегруженных аэропортах пул почти пуст и ждать свободного интервала можно бесконечно поэтому слоты начали продавать и обменивать в 2016 году oman air заплатила за одну пару слотов в хитроу около 75 миллионов и это до сих пор один из рекордов дороже всего стоит удобное утреннее время на которое приходится пик спроса skymoments silent plane
aviadispet4er.csv,aviadispet4er,2026-05-23T11:11:39+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика | Экономика","✈ **IATA: рост авиасообщения в Европе почти остановился**

Международная ассоциация воздушного транспорта (IATA) заявила, что рост авиасообщения в Европе в 2025 году фактически «остановился». По данным организации, количество маршрутов в регионе выросло лишь на 1%.

За прошлый год в странах ЕС было открыто 1281 направление, однако закрыто было 1127 маршрутов. Чистый прирост составил всего 154 маршрута, а общее число авиасоединений достигло 14 797.

В IATA считают, что на рынок всё сильнее давят высокие издержки и жёсткое регулирование. В организации отдельно раскритиковали европейские правила компенсаций пассажирам за задержки и отмены рейсов, заявив, что они делают часть маршрутов экономически невыгодными для авиакомпаний.

Также в ассоциации призвали власти ЕС смягчить регулирование отрасли, пересмотреть экологические требования и отказаться от дополнительных налогов на авиапассажиров.

[FlightMode](https://t.me/aviationmode)",iata рост авиасообщения в европе почти остановился международная ассоциация воздушного транспорта iata заявила что рост авиасообщения в европе в 2025 году фактически остановился по данным организации количество маршрутов в регионе выросло лишь на 1 за прошлый год в странах ес было открыто 1281 направление однако закрыто было 1127 маршрутов чистый прирост составил всего 154 маршрута а общее число авиасоединений достигло 14 797 в iata считают что на рынок всё сильнее давят высокие издержки и жёсткое регулирование в организации отдельно раскритиковали европейские правила компенсаций пассажирам за задержки и отмены рейсов заявив что они делают часть маршрутов экономически невыгодными для авиакомпаний также в ассоциации призвали власти ес смягчить регулирование отрасли пересмотреть экологические требования и отказаться от дополнительных налогов на авиапассажиров flightmode
aviadispet4er.csv,aviadispet4er,2026-05-23T10:51:26+00:00,Экономика,keyword_review,Экономика | Искусство и культура | Происшествия,"**Drone World Congress 2026: мировая витрина новой беспилотной авиации**

Сегодня в китайском Шэньчжэне завершила свою работу выставка-конференция Drone World Congress 2026 — один из крупнейших международных форумов, посвящённых беспилотной авиации и так называемой “экономике малых высот”.

🙂 **Выставка проходила с 21 по 23 мая в выставочном центре Shenzhen Convention & Exhibition Center и объединила производителей беспилотных систем, разработчиков программного обеспечения, операторов, регуляторов и представителей промышленности.**

Особое внимание в этом году было уделено сравнительно новой концепции ""Low-altitude economy"" — ""экономике малых высот"", активно развиваемой именно в Китае.

Там эта концепция уже стала важнейшей частью государственной стратегии развития авиации. Речь идёт о создании полноценной транспортной инфраструктуры, основанной на беспилотных системах, которые работают в интересах экономики, транспорта и решения общенациональных задач: от грузовых перевозок и мониторинга инфраструктуры до воздушного такси, экстренной доставки, спасения и сельского хозяйства.

🙂 **Именно поэтому Drone World Congress стала уже не просто технологической выставкой авиационных систем, а площадкой обсуждения и развития новой транспортной экосистемы для национальных и мировой экономик.**

Среди наиболее интересных новинок отметим систему от китайской JOUAV — известный производитель промышленных БПЛА представил новейший комплекс вертикального взлета и посадки CW-20E VTOL.

Другая китайская фирма, GDU Tech, показала свои флагманские платформы S400E и P200, предназначенные для инспекции высоковольтных линий электропередач, пожаротушения и ликвидации чрезвычайных ситуаций. Но главной изюминкой экспозиции данной фирмы явились даже не беспилотные аппараты, а полностью автоматизированная “док-станция” — компактная автоматизированная посадочная площадка ""в коробке"", позволяющая запускать, принимать и обслуживать дроны удаленно, без непосредственного участия человека.

Как мы [сообщали](https://t.me/aviasalonmaks/25432) накануне, на WDC-2026 отметились и наши разработчики бесплотных систем. Государственная транспортная лизинговая компания (ГТЛК) представила тяжёлые беспилотники T-300-8E и TFM-15-8E, выполненные по гибридной схеме “самолёт с вертикальным взлётом”.

🙂** **В числе прочего на выставке были представлены и комплексы “новой ПВО”, основу которых составляют малые беспилотные аппараты, характиризующиеся широким применением систем искусственного интеллекта, и предназначенные для защиты от других дронов.

Также на выставке были представлены решения для городской мобильности и логистики, в виде больших аппаратов класса eVTOL.

__На фоне стремительного роста мирового рынка беспилотников, и с учётом несомненного лидерства Китая в этом бурно развивающемся сегменте, можно констатировать, что Drone World Congress — одна из ключевых мировых площадок, на которых фактически определяется направление развития всей мировой “новой авиации” в её беспилотной ипостаси.__

📷 __Соцсети__

#Постфактум #DWC2026 #ГТЛК #JOUAV #GDUTech #выставки #новаяавиация #БПЛА

🙂** **[**Подписывайся на нас в MAX**](https://max.ru/aviasalonmaks)
🙂 [**Онлайн-проект eMAKS**](https://www.aviasalon.com/)** 
****🙂**** **[**Авиасалон МАКС в Телеграм**](https://t.me/aviasalonmaks)",drone world congress 2026 мировая витрина новой беспилотной авиации сегодня в китайском шэньчжэне завершила свою работу выставка конференция drone world congress 2026 один из крупнейших международных форумов посвящённых беспилотной авиации и так называемой экономике малых высот выставка проходила с 21 по 23 мая в выставочном центре shenzhen convention exhibition center и объединила производителей беспилотных систем разработчиков программного обеспечения операторов регуляторов и представителей промышленности особое внимание в этом году было уделено сравнительно новой концепции low altitude economy экономике малых высот активно развиваемой именно в китае там эта концепция уже стала важнейшей частью государственной стратегии развития авиации речь идёт о создании полноценной транспортной инфраструктуры основанной на беспилотных системах которые работают в интересах экономики транспорта и решения общенациональных задач от грузовых перевозок и мониторинга инфраструктуры до воздушного такси экстренной доставки спасения и сельского хозяйства именно поэтому drone world congress стала уже не просто технологической выставкой авиационных систем а площадкой обсуждения и развития новой транспортной экосистемы для национальных и мировой экономик среди наиболее интересных новинок отметим систему от китайской jouav известный производитель промышленных бпла представил новейший комплекс вертикального взлета и посадки cw 20e vtol другая китайская фирма gdu tech показала свои флагманские платформы s400e и p200 предназначенные для инспекции высоковольтных линий электропередач пожаротушения и ликвидации чрезвычайных ситуаций но главной изюминкой экспозиции данной фирмы явились даже не беспилотные аппараты а полностью автоматизированная док станция компактная автоматизированная посадочная площадка в коробке позволяющая запускать принимать и обслуживать дроны удаленно без непосредственного участия человека как мы сообщали накануне на wdc 2026 отметились и наши разработчики бесплотных систем государственная транспортная лизинговая компания гтлк представила тяжёлые беспилотники t 300 8e и tfm 15 8e выполненные по гибридной схеме самолёт с вертикальным взлётом в числе прочего на выставке были представлены и комплексы новой пво основу которых составляют малые беспилотные аппараты характиризующиеся широким применением систем искусственного интеллекта и предназначенные для защиты от других дронов также на выставке были представлены решения для городской мобильности и логистики в виде больших аппаратов класса evtol на фоне стремительного роста мирового рынка беспилотников и с учётом несомненного лидерства китая в этом бурно развивающемся сегменте можно констатировать что drone world congress одна из ключевых мировых площадок на которых фактически определяется направление развития всей мировой новой авиации в её беспилотной ипостаси соцсети подписывайся на нас в max онлайн проект emaks авиасалон макс в телеграм
