date,topic,text,text_clean
2025-11-01T18:01:06+00:00,3,"Главные новости к вечеру Правительство утвердило перенос реформы утильсбора. Теперь россияне могут заселяться в гостиницы, предъявив вместо российского паспорта загранпаспорт, а с 1 января 2026 года — водительское удостоверение. Активы экс-главы Крымского района Кубани Сергея Леся и его семьи арестованы. Онлайн-банк Revolut закрывает счета российских клиентов, у которых нет вида на жительство в ЕС или европейского гражданства. В Белгородской области сбежал задержанный за убийство и изнасилование военнослужащий. #главноеквечеру",главные новости к вечеру правительство утвердило перенос реформы утильсбора теперь россияне могут заселяться в гостиницы предъявив вместо российского паспорта загранпаспорт а с января года водительское удостоверение активы экс главы крымского района кубани сергея леся и его семьи арестованы онлайн банк revolut закрывает счета российских клиентов у которых нет вида на жительство в ес или европейского гражданства в белгородской области сбежал задержанный за убийство и изнасилование военнослужащий
2025-11-01T17:34:42+00:00,3,"Атомная подводная лодка «Хабаровск» спущена на воду в Северодвинске, сообщили в Минобороны. Этот носитель подводного оружия и роботизированных средств позволит успешно решать задачи по защите интересов России в Мировом океане, отметили в ведомстве. Подписывайтесь на «Ъ»|Оставляйте «бусты»",атомная подводная лодка хабаровск спущена на воду в северодвинске сообщили в минобороны этот носитель подводного оружия и роботизированных средств позволит успешно решать задачи по защите интересов россии в мировом океане отметили в ведомстве подписывайтесь на ъ оставляйте бусты
2025-11-01T17:14:39+00:00,4,"Онлайн-банк Revolut начал блокировать счета российских клиентов, у которых нет вида на жительство в Евросоюзе или европейского гражданства. Финансовое учреждение, ссылаясь на недавно принятый ЕС 19-й пакет санкций против России, с коротким интервалом разослало россиянам два сообщения. В первом была просьба предоставить копию вида на жительство, во втором — уведомление о закрытии счета. Такие сообщения получили россияне, живущие в странах ЕС с долгосрочными визами или видом на жительство. Revolut оставался одной из немногих финансовых организаций, готовых открывать счета российским гражданам, которые уехали из страны после начала военных действий на Украине. Подписывайтесь на «Ъ»|Оставляйте «бусты»",онлайн банк revolut начал блокировать счета российских клиентов у которых нет вида на жительство в евросоюзе или европейского гражданства финансовое учреждение ссылаясь на недавно принятый ес й пакет санкций против россии с коротким интервалом разослало россиянам два сообщения в первом была просьба предоставить копию вида на жительство во втором уведомление о закрытии счета такие сообщения получили россияне живущие в странах ес с долгосрочными визами или видом на жительство revolut оставался одной из немногих финансовых организаций готовых открывать счета российским гражданам которые уехали из страны после начала военных действий на украине подписывайтесь на ъ оставляйте бусты
2025-11-01T16:24:55+00:00,3,"Образование, ЖКХ, здравоохранение и туризм должны стать первыми отраслями, где появятся стандарты обработки персональных данных вместо согласий, сообщили ""Ъ FM"" в РКН. Ранее глава Роскомнадзора Андрей Липов предложил вместо института согласий на обработку персональных данных ввести отраслевые стандарты. По его словам, собирать согласия на «каждое действие» — устаревший способ. Как заявили ""Ъ FM"" в РКН, концепция отраслевых стандартов уже сформирована и поддержана рядом федеральных ведомств: Стандарты — это конкретные «правила игры» для каждой отрасли. Они будут включать: перечень необходимых данных, сроки хранения и порядок уничтожения информации, правовые основания обработки (договор или закон), источники данных (госcистемы, уполномоченные органы, документы) и порядок взаимодействия с человеком по вопросам обработки данных. В стандарты будут «вшиты» принципы закона «О персональных данных», прежде всего минимизация данных. Это даст понятные инструкции организациям, которые хотят работать честно, но не имеют ресурсов на юристов. В первую очередь стандарты появятся в сферах, где обработка данных критична и затрагивает массового потребителя: образование, ЖКХ, здравоохранение и туризм. Работа экспертов и представителей бизнеса над содержанием стандартов уже начата на площадке Центра компетенций в сфере персональных данных Главного радиочастотного центра. Задача стандарта — защитить человека от избыточного сбора данных и злоупотреблений со стороны организаций, которые принуждают предоставлять многочисленные согласия, чтобы снять с себя ответственность и переложить риски на граждан. Слушать прямой эфир",образование жкх здравоохранение и туризм должны стать первыми отраслями где появятся стандарты обработки персональных данных вместо согласий сообщили ъ fm в ркн ранее глава роскомнадзора андрей липов предложил вместо института согласий на обработку персональных данных ввести отраслевые стандарты по его словам собирать согласия на каждое действие устаревший способ как заявили ъ fm в ркн концепция отраслевых стандартов уже сформирована и поддержана рядом федеральных ведомств стандарты это конкретные правила игры для каждой отрасли они будут включать перечень необходимых данных сроки хранения и порядок уничтожения информации правовые основания обработки договор или закон источники данных госcистемы уполномоченные органы документы и порядок взаимодействия с человеком по вопросам обработки данных в стандарты будут вшиты принципы закона о персональных данных прежде всего минимизация данных это даст понятные инструкции организациям которые хотят работать честно но не имеют ресурсов на юристов в первую очередь стандарты появятся в сферах где обработка данных критична и затрагивает массового потребителя образование жкх здравоохранение и туризм работа экспертов и представителей бизнеса над содержанием стандартов уже начата на площадке центра компетенций в сфере персональных данных главного радиочастотного центра задача стандарта защитить человека от избыточного сбора данных и злоупотреблений со стороны организаций которые принуждают предоставлять многочисленные согласия чтобы снять с себя ответственность и переложить риски на граждан слушать прямой эфир
2025-11-01T16:09:31+00:00,3,"Премьер-министр Венгрии Виктор Обран назвал вопрос о российских нефти и газе одним из центральных на переговорах с Дональдом Трампом в Вашингтоне, которые состоятся на будущей неделе. Господин Орбан добивается исключения Венгрии из санкций против российских энергетических компаний. Это позволит стране продолжить закупки нефти и газа из России. Кроме того, он назвал мир на Украине «одной из важных тем переговоров в Вашингтоне». Переговоры могут вернуть идею российско-американского саммита в Будапеште. Проведение такого саммита и продолжение поставок российских энергоносителей в Венгрию во многом определит политическое будущее Виктора Орбана. _ Подробнее — в материале «Битва за Будапешт»._ Подписывайтесь на «Ъ»|Оставляйте «бусты»",премьер министр венгрии виктор обран назвал вопрос о российских нефти и газе одним из центральных на переговорах с дональдом трампом в вашингтоне которые состоятся на будущей неделе господин орбан добивается исключения венгрии из санкций против российских энергетических компаний это позволит стране продолжить закупки нефти и газа из россии кроме того он назвал мир на украине одной из важных тем переговоров в вашингтоне переговоры могут вернуть идею российско американского саммита в будапеште проведение такого саммита и продолжение поставок российских энергоносителей в венгрию во многом определит политическое будущее виктора орбана подробнее в материале битва за будапешт подписывайтесь на ъ оставляйте бусты
2025-11-01T15:13:46+00:00,4,"Российские металлурги могут поднять цены на стальную заготовку в черноморских портах вслед за укреплением рубля и повышением стоимости полуфабрикатов из Китая, стало известно «Ъ». Экспортеры из стран СНГ планируют повышение цен до $443–447 за тонну в портах Черного моря. Поддержать котировки должен в том числе ожидаемый рост импорта турецкими заводами. В то же время китайские металлурги усиливают присутствие на соседних с Россией рынках, что ужесточает конкуренцию для российских компаний. #Ъузнал",российские металлурги могут поднять цены на стальную заготовку в черноморских портах вслед за укреплением рубля и повышением стоимости полуфабрикатов из китая стало известно ъ экспортеры из стран снг планируют повышение цен до за тонну в портах черного моря поддержать котировки должен в том числе ожидаемый рост импорта турецкими заводами в то же время китайские металлурги усиливают присутствие на соседних с россией рынках что ужесточает конкуренцию для российских компаний
2025-11-01T14:41:44+00:00,2,"За третий квартал 2025 года в России было зафиксировано более 42 тыс. кибератак, 7,6 тыс. из которых признали высококритичными. По данным ИБ-компании RED Security SOC, это на 73% больше показателей прошлого года и составляет 40% от всех годовых инцидентов. Основными целями злоумышленников стали телекоммуникации, ИТ, финансовый сектор и медиаиндустрия. Наибольший рост продемонстрировали атаки на медиаотрасль (43%). Аналитики также сообщают о росте сложных целевых атак, фишинговых кампаний и использовании злоумышленниками легитимных инструментов, которые сложно обнаружить. Сети меняются. Мы следим. Подписывайтесь.",за третий квартал года в россии было зафиксировано более тыс кибератак тыс из которых признали высококритичными по данным иб компании red security soc это на больше показателей прошлого года и составляет от всех годовых инцидентов основными целями злоумышленников стали телекоммуникации ит финансовый сектор и медиаиндустрия наибольший рост продемонстрировали атаки на медиаотрасль аналитики также сообщают о росте сложных целевых атак фишинговых кампаний и использовании злоумышленниками легитимных инструментов которые сложно обнаружить сети меняются мы следим подписывайтесь
2025-11-01T14:17:16+00:00,3,"Тысячи человек вышли на акцию протеста в Рио-де-Жанейро после масштабной полицейской операции против банд наркоторговцев, в ходе которой погиб по меньшей мере 121 человек, сообщает The Guardian. Как отмечает издание, она стала самой кровопролитной полицейской операцией в истории Бразилии. Протестующие требуют расследования обстоятельств этой операции и отказа от такой политики в сфере безопасности, которая превращает бедные кварталы города «в зону военных действий». Подписывайтесь на «Ъ»|Оставляйте «бусты»",тысячи человек вышли на акцию протеста в рио де жанейро после масштабной полицейской операции против банд наркоторговцев в ходе которой погиб по меньшей мере человек сообщает the guardian как отмечает издание она стала самой кровопролитной полицейской операцией в истории бразилии протестующие требуют расследования обстоятельств этой операции и отказа от такой политики в сфере безопасности которая превращает бедные кварталы города в зону военных действий подписывайтесь на ъ оставляйте бусты
2025-11-01T14:06:59+00:00,0,"В ночь с 31 октября на 1 ноября в мире отметили Хэллоуин. В честь праздника принято наряжаться в костюмы, а его символом считается фонарь из тыквы с вырезанной гримасой. Кадры с парадов и вечеринок из разных стран — в фотогалерее «Ъ». Подписывайтесь на «Ъ»|Оставляйте «бусты»",в ночь с октября на ноября в мире отметили хэллоуин в честь праздника принято наряжаться в костюмы а его символом считается фонарь из тыквы с вырезанной гримасой кадры с парадов и вечеринок из разных стран в фотогалерее ъ подписывайтесь на ъ оставляйте бусты
2025-11-01T13:53:08+00:00,10,"Генпрокуратура утвердила обвинение по уголовному делу в отношении экс-гендиректора ООО «Крокус наноэлектроника» Андрея Кушнарева о растрате 7,5 млрд руб., сообщили в ведомстве. По версии следствия, господин Кушнарев совместно с экс-руководителем АО «Роснано» Юрием Удальцовым и группой неустановленных лиц растратили более 7,5 млрд руб. компании, вверенных господину Удальцову. Денежные средства предназначались для реализации проекта «MRAM: Создание производства магниторезистивной оперативной памяти в России». Отмечается, что Андрей Кушнарев находится под стражей, а Юрий Удальцов объявлен в международный уголовный розыск. Расследование дела в отношении неустановленных лиц продолжается. _ Суды общей юрисдикции Москвы_ Подписывайтесь на «Ъ»|Оставляйте «бусты»",генпрокуратура утвердила обвинение по уголовному делу в отношении экс гендиректора ооо крокус наноэлектроника андрея кушнарева о растрате млрд руб сообщили в ведомстве по версии следствия господин кушнарев совместно с экс руководителем ао роснано юрием удальцовым и группой неустановленных лиц растратили более млрд руб компании вверенных господину удальцову денежные средства предназначались для реализации проекта mram создание производства магниторезистивной оперативной памяти в россии отмечается что андрей кушнарев находится под стражей а юрий удальцов объявлен в международный уголовный розыск расследование дела в отношении неустановленных лиц продолжается суды общей юрисдикции москвы подписывайтесь на ъ оставляйте бусты
