id,date,text,views,forwards,replies,channel_short
31149,2026-06-02T05:31:25+00:00,"Шакальи дни продолжаются

#новостьнеделинаэнке

(Кстати, это сотый пост в рубрике, поддержим 🧡)",1420,9,1,nplusone
31148,2026-06-01T18:45:01+00:00,"С днем защиты детей

#заголовокдня",3702,29,5,nplusone
31147,2026-06-01T17:40:13+00:00,"**Почти 20 процентов американских подростков пользуются чат-ботами, чтобы получить консультацию по ментальному здоровью. **

К такому выводу [пришли](https://nplus1.ru/news/2026/06/01/ask-bot-mental) ученые в результате опроса более 42 миллионов тинейджеров. Примечательно, что две трети из них никому не рассказывали об этом опыте.

В опросе участвовали люди с 12 до 21 года, из них 42,8 процента делали это по крайней мере ежемесячно, 91,7 процента оценили эти советы как полезные или очень полезные. Девочки в два раза чаще мальчиков обращались к чат-ботам с искусственным интеллектом по поводу ментального состояния. Кроме того, чаще это делали респонденты в возрасте от 18 до 21 года и те, кто получал консультацию от врача в течение предыдущих шести месяцев

#Медицина | *2.1

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4021,22,0,nplusone
31146,2026-06-01T16:50:14+00:00,"**Геологи реконструировали предысторию Евфрата. **

Используя сейсмические и топографические данные, геологи изучили палеогидрологию Юго-Восточной Анатолии и [реконструировали](https://nplus1.ru/news/2026/06/01/emergence-of-euphrates-river) эволюцию двух протекавших здесь речных потоков. Ученые пришли к выводу, что эти древние реки примерно 5,4 миллиона лет назад впадали в водоем на месте сильно пересохшего в то время Средиземного моря. Их общий сток, несмотря на относительно небольшие водосборные бассейны, вероятно, превышал сток современных Тигра, Евфрата и Нила. Позднее в результате тектонических процессов обе реки повернули на юго-восток, а их слияние привело к образованию Евфрата, русло которого в верхнем течении приобрело современное положение около 1,6 миллиона лет назад

#Геология | #Климат | *4.3

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",3858,15,1,nplusone
31145,2026-06-01T16:00:50+00:00,"**В Венгрии обнаружили элитарное захоронение, относящееся к периоду мадьярского завоевания. **

Хотя могилу ранее повредили во время рытья котлована, археологи [выяснили](https://nplus1.ru/news/2026/06/01/elite-hungarian-grave), что перед ними богатейшее в этом районе венгерское захоронение, в котором вместе с конем похоронили взрослого мужчину. В захоронении также лежали ценные вещи, о части которых уже сообщили сотрудники музея. Среди артефактов, лежавших в могиле, археологи обнаружили золотой перстень, украшенный камнем, а также позолоченные детали поясного набора, сделанные из серебра. Схожие пояса встречаются и в других богатых захоронениях, связанных с венграми, в том числе на территории России

#Археология | *1.3

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",3838,14,1,nplusone
31144,2026-06-01T15:10:13+00:00,"**Метаанализ указал на максимальную эффективную дозу лекарств при СДВГ.**

У детей с синдромом дефицита внимания и гиперактивности максимальная эффективность от лечения [достигается](https://nplus1.ru/news/2026/06/01/dose-effect-adhd-interventions) при приеме метилфенидата в дозе 45 миллиграмм в сутки. При приеме более высоких доз не наблюдается нарастание эффекта. Для амфетаминов эта доза составила 25 миллиграмм в сутки, а для гуанфацина — четыре миллиграмма в сутки. Для взрослых наиболее оптимальной дозой амфетаминов и метилфенидата оказалось 50 миллиграмм в сутки

#Медицина | *2.4

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",3948,41,0,nplusone
31135,2026-06-01T14:21:01+00:00,🧸Часть вторая,3817,11,0,nplusone
31126,2026-06-01T14:20:08+00:00,"👶**Сегодня отмечается День защиты детей.**

По этому поводу показываем вам внутренних детей редакции N + 1 (в двух частях)",3584,13,0,nplusone
31125,2026-06-01T13:30:21+00:00,"**Наличие пародонтопатогенных бактерий связали с ухудшением когнитивных функций**.

Анализ микробиома ротовой полости более тысячи человек [показал](https://nplus1.ru/news/2026/06/01/subgingival-microbiota-brain-health), что более высокая распространенность бактериальных таксонов, связанных с пародонтитом, связана с ухудшением когнитивных функций и нарушением целостности коры головного мозга. Подобные ассоциации найдены как для известных родов, так и с таксонами, которые со здоровьем мозга ранее связаны не были

#Медицина | *2.6

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4056,53,0,nplusone
31124,2026-06-01T12:40:12+00:00,"**Ребенку из цивилизации Окса трепанировали череп 4000 лет назад.**

Во время раскопок Джаркутана, расположенного на юго-востоке современного Узбекистанa и относящегося к эпохе бронзы, археологи [обнаружили](https://nplus1.ru/news/2026/06/01/cranial-trepanation-in-central-asia) нестандартное захоронение. В могильной яме лежали двое детей возрастом около трех и пяти лет, тела которых уложили спинами друг к другу. По оценкам специалистов, возраст исследованного погребения составляет приблизительно четыре тысячи лет. Один из скелетов привлек внимание ученых тем, что на его черепе присутствовали следы трепанации, которую, возможно, провели для лечения неврологического заболевания, головных болей или других проблем. По данным исследователей, это самый ранний выявленный случай трепанации в Центральной Азии, а также одно из древнейших свидетельств хирургического вмешательства во всей Азии

#Антропология | #Археология | *1.3

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4221,22,0,nplusone
