source_file,channel_short,date,proposed_label,source_strategy,keyword_hits,text,clean_text,candidate_kind,final_label,final_topic_id,confidence,margin,logreg_top,nb_top,nn_top
rt_russian.csv,rt_russian,2026-05-21T14:29:14+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин наградил орденом «За заслуги перед Отечеством» I степени Надежду Бабкину и Юрия Антонова. 

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",владимир путин наградил орденом за заслуги перед отечеством i степени надежду бабкину и юрия антонова подписаться на rt тг зеркало max,review,"Общество, государство, политика",3,0.483387,0.364278,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
rt_russian.csv,rt_russian,2026-05-21T14:56:42+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин наградил Константина Эрнста орденом «За доблестный труд».

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",владимир путин наградил константина эрнста орденом за доблестный труд подписаться на rt тг зеркало max,review,"Общество, государство, политика",3,0.4707,0.34693,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
rt_russian.csv,rt_russian,2026-05-21T14:40:55+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Путин наградил худрука Большого Московского цирка Аскольда Запашного орденом «За заслуги перед Отечеством» IV степени.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",путин наградил худрука большого московского цирка аскольда запашного орденом за заслуги перед отечеством iv степени подписаться на rt тг зеркало max,review,"Общество, государство, политика",3,0.447318,0.336504,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-22T14:46:57+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","📰 Владимир Путин [подписал](https://www.kommersant.ru/doc/8688081?tg) указ, который разрешает АО «Эксплуатирующая организация Запорожской АЭС» **владеть ядерными материалами и установками.**

Запорожская АЭС — крупнейшая атомная станция в Европе. Она находится под контролем российских войск с марта 2022 года, а в октябре 2022 года была включена в собственность России.

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин подписал указ который разрешает ао эксплуатирующая организация запорожской аэс владеть ядерными материалами и установками запорожская аэс крупнейшая атомная станция в европе она находится под контролем российских войск с марта 2022 года а в октябре 2022 года была включена в собственность россии подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.412332,0.25935,Искусство и культура,Искусство и культура,"Общество, государство, политика"
tass_agency.csv,tass_agency,2026-05-22T15:10:40+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика",📃Владимир Путин присвоил звание заслуженного деятеля искусств РФ Николаю Агутину.,владимир путин присвоил звание заслуженного деятеля искусств рф николаю агутину,review,"Общество, государство, политика",3,0.406644,0.233877,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-21T20:16:42+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","«Да, мало осталось людей, которые понимают, что такое хит».

21 мая президент России Владимир Путин отметил государственными наградами большое количество заслуженных людей, среди которых специальный корреспондент «Ъ» **Андрей Колесников** [отметил](https://www.kommersant.ru/doc/8675034?tg) Виталия Игнатенко, Ивана Дедова, Юрия Антонова и, конечно, Надежду Бабкину, с которыми и обсудил сложившуюся ситуацию.

✔️ [Подписывайтесь на «Ъ» в MAX](https://max.ru/kommersant) |[ в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",да мало осталось людей которые понимают что такое хит 21 мая президент россии владимир путин отметил государственными наградами большое количество заслуженных людей среди которых специальный корреспондент ъ андрей колесников отметил виталия игнатенко ивана дедова юрия антонова и конечно надежду бабкину с которыми и обсудил сложившуюся ситуацию подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.4014,0.228398,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-20T11:26:27+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин приехал в Китай с рабочим визитом и выпил чаю с председателем КНР Си Цзиньпином.

«Хотел, но не могу промолчать о том, как надел бросающиеся в глаза кроссовки фирмы типа Adidas в дополнение к костюму другой фирмы ректор МФТИ Дмитрий Ливанов. То есть это было так неожиданно, что, по данным “Ъ”, протокол российского президента даже попросил его воздержаться от парадного выхода на площадь для полноценного участия в церемонии официальной встречи лидеров России и Китая».

👉 **Подробности — в **[**репортаже**](https://www.kommersant.ru/doc/8673545?tg)** специального корреспондента «Ъ» Андрея Колесникова.**

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин приехал в китай с рабочим визитом и выпил чаю с председателем кнр си цзиньпином хотел но не могу промолчать о том как надел бросающиеся в глаза кроссовки фирмы типа adidas в дополнение к костюму другой фирмы ректор мфти дмитрий ливанов то есть это было так неожиданно что по данным ъ протокол российского президента даже попросил его воздержаться от парадного выхода на площадь для полноценного участия в церемонии официальной встречи лидеров россии и китая подробности в репортаже специального корреспондента ъ андрея колесникова подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.390732,0.178793,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-23T09:31:17+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин выразил соболезнования Си Цзиньпину в связи с катастрофой на угольной шахте в провинции Шаньси.

✔ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant)[ в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин выразил соболезнования си цзиньпину в связи с катастрофой на угольной шахте в провинции шаньси подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.390555,0.252017,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
rt_russian.csv,rt_russian,2026-05-20T14:09:21+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин завершил рабочую программу в Китае.

Президентский кортеж выехал в аэропорт Пекина от Дома народных собраний.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",владимир путин завершил рабочую программу в китае президентский кортеж выехал в аэропорт пекина от дома народных собраний подписаться на rt тг зеркало max,review,"Общество, государство, политика",3,0.389327,0.243686,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-20T10:24:27+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","**Владимир Путин встретился с премьером Госсовета КНР Ли Цяном**. Встреча [прошла](https://www.kommersant.ru/doc/8673632?tg) в Большом восточном зале Дома народных собраний.

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин встретился с премьером госсовета кнр ли цяном встреча прошла в большом восточном зале дома народных собраний подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.389187,0.254588,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-21T13:00:23+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","❗️ **Ядерная триада должна служить гарантом суверенитета Союзного государства, **заявил Владимир Путин. 

▪ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",ядерная триада должна служить гарантом суверенитета союзного государства заявил владимир путин подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.387709,0.250207,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
tass_agency.csv,tass_agency,2026-05-21T13:53:32+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","❗️Ядерная триада РФ будет оставаться на уровне необходимой достаточности, заявил Путин.",ядерная триада рф будет оставаться на уровне необходимой достаточности заявил путин,review,"Общество, государство, политика",3,0.384907,0.195867,Искусство и культура,Искусство и культура,"Общество, государство, политика"
kommersant.csv,kommersant,2026-05-21T13:52:56+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Россия не намерена вступать в гонку вооружений, ее **«ядерная триада» будет оставаться на уровне «необходимой достаточности»**, подчеркнул Владимир Путин.

▪ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",россия не намерена вступать в гонку вооружений ее ядерная триада будет оставаться на уровне необходимой достаточности подчеркнул владимир путин подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.3841,0.210524,"Общество, государство, политика",Искусство и культура,"Общество, государство, политика"
tass_agency.csv,tass_agency,2026-05-22T14:24:05+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","❗️Удар по Старобельску подтверждает террористический и неонацистский характер киевского режима, заявил Путин.

Киевский режим терпит провалы на фронте, не помогает ни разворовываемая помощь, ни отлов на улицах людей, словно собак.",удар по старобельску подтверждает террористический и неонацистский характер киевского режима заявил путин киевский режим терпит провалы на фронте не помогает ни разворовываемая помощь ни отлов на улицах людей словно собак,review,"Общество, государство, политика",3,0.382957,0.227168,Искусство и культура,Искусство и культура,Наука и техника
kommersant.csv,kommersant,2026-05-20T03:19:03+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Владимир Путин встретился с Си Цзиньпином у Дома народных собраний в Пекине, передает специальный корреспондент «Ъ» Андрей Колесников.

▪ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин встретился с си цзиньпином у дома народных собраний в пекине передает специальный корреспондент ъ андрей колесников подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.378792,0.236562,Наука и техника,Искусство и культура,"Общество, государство, политика"
rt_russian.csv,rt_russian,2026-05-21T13:55:21+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","Ядерная триада РФ будет оставаться на уровне необходимой достаточности, заявил Путин.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",ядерная триада рф будет оставаться на уровне необходимой достаточности заявил путин подписаться на rt тг зеркало max,review,"Общество, государство, политика",3,0.37755,0.18209,Искусство и культура,Искусство и культура,"Общество, государство, политика"
meduzalive.csv,meduzalive,2026-05-19T15:25:35+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","**Владимир Путин прилетел в Китай**

Визит российского президента будет двухдневным. Официальные мероприятия начнутся завтра с церемонии встречи Путина и лидера КНР Си Цзиньпина на площади Тяньаньмэнь. Затем будут переговоры в узком составе.

@meduzalive",владимир путин прилетел в китай визит российского президента будет двухдневным официальные мероприятия начнутся завтра с церемонии встречи путина и лидера кнр си цзиньпина на площади тяньаньмэнь затем будут переговоры в узком составе,review,"Общество, государство, политика",3,0.372681,0.176137,Искусство и культура,Искусство и культура,Искусство и культура
kommersant.csv,kommersant,2026-05-20T06:42:23+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","❗️ **Владимир Путин и Си Цзиньпин подписали заявление об углублении отношений России и Китая.**

Всего представители двух стран подписали 20 совместных документов.

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин и си цзиньпин подписали заявление об углублении отношений россии и китая всего представители двух стран подписали 20 совместных документов подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.371993,0.182241,Искусство и культура,Искусство и культура,Искусство и культура
kommersant.csv,kommersant,2026-05-22T14:21:20+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","**Владимир Путин назвал терактом удар ВСУ по общежитию в Старобельске в ЛНР.
**
По словам президента, удар не был случайным: «три волны БПЛА били в одно и то же место».

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин назвал терактом удар всу по общежитию в старобельске в лнр по словам президента удар не был случайным три волны бпла били в одно и то же место подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.368993,0.171165,Искусство и культура,Искусство и культура,Искусство и культура
kommersant.csv,kommersant,2026-05-22T14:02:27+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","**Владимир Путин **[**назначил**](https://www.kommersant.ru/doc/8688001?tg)** Андрея Козлова помощником секретаря Совбеза России.**

В середине марта от этой должности был освобожден Павел Коновальчик, который занимал пост с июля 2024 года.

▪️ [Подписывайтесь на «Ъ» в MAX ](https://max.ru/kommersant)| [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",владимир путин назначил андрея козлова помощником секретаря совбеза россии в середине марта от этой должности был освобожден павел коновальчик который занимал пост с июля 2024 года подписывайтесь на ъ в max в telegram,review,"Общество, государство, политика",3,0.363774,0.181974,Искусство и культура,Искусство и культура,Искусство и культура
tass_agency.csv,tass_agency,2026-05-23T02:49:48+00:00,"Общество, государство, политика",keyword_review,"Общество, государство, политика","▶️ Авиарегулятор США зафиксировал ""аномалию"" во время полета ракеты Starship. 

Она затронула ракетный ускоритель Super Heavy во время разворота над Мексиканским заливом. Сообщений о пострадавших или повреждении имущества нет, говорится в заявлении ведомства.

Видео: SpaceX/X",авиарегулятор сша зафиксировал аномалию во время полета ракеты starship она затронула ракетный ускоритель super heavy во время разворота над мексиканским заливом сообщений о пострадавших или повреждении имущества нет говорится в заявлении ведомства видео spacex x,review,"Общество, государство, политика",3,0.359747,0.21552,Искусство и культура,Искусство и культура,Экономика
