id,date,text,views,forwards,replies
281731,2026-05-23T22:43:38+00:00,,8020,71,
281730,2026-05-23T22:43:38+00:00,"Ещё видео прилётов, опубликованные украинскими каналами. Пишут, что удары были по объектам в Белой Церкви (Киевская область), а также по Киеву — и, вероятно, «Орешником».

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",8021,81,
281729,2026-05-23T22:37:45+00:00,"На видео — прилёт по объекту в Белой Церкви под Киевом, пишут украинские паблики. Утверждают, что удар был «Орешником».

Официальной информации пока не было.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",9587,91,
281728,2026-05-23T22:26:42+00:00,"Звуки стрельбы у Белого дома попали на видео корра ABC Селины Ванг. На кадрах журналистка прячется.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",11466,72,
281727,2026-05-23T22:23:06+00:00,"**Порядка 20—30 выстрелов слышали у Белого дома, уточняет корр NBC Джули Циркин.**

Других деталей пока нет.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",11738,42,
281726,2026-05-23T22:20:26+00:00,"**Многочисленные выстрелы слышны у Белого дома, сообщила корр ABC Селина Ванг.**

Журналистов эвакуировали в комнату для брифингов прессы.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",12696,83,
281725,2026-05-23T22:02:15+00:00,"В Киеве прогремели взрывы на фоне воздушной тревоги, сообщают украинские СМИ.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",20111,112,
281724,2026-05-23T21:05:28+00:00,"Новые кадры от МЧС с места трагедии в Старобельске. Поисковые работы завершены, сообщили ранее в ведомстве.

Все тела извлечены из-под завалов. По последним данным, в результате [теракта](https://t.me/rt_russian/281662?single), устроенного ВСУ, погиб 21 человек, 42 пострадали.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",45482,209,
281723,2026-05-23T20:52:02+00:00,"**24 и 25 мая объявлены в ЛНР днями траура в память о жертвах **[**теракта**](https://t.me/rt_russian/281696)**, организованного ВСУ в Старобельске.**

Об этом сообщил Леонид Пасечник. 

Напомним, поисковые работы на месте удара по [общежитию](https://t.me/rt_russian/281678) завершены. По последним данным, погиб 21 человек, 42 пострадали.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",27579,56,
281722,2026-05-23T20:47:55+00:00,"**Трамп заявил, что сделка между Ираном и США в основном согласована и теперь должна быть окончательно утверждена.**

Он добавил, что окончательные аспекты и детали сейчас обсуждаются и будут объявлены в ближайшее время.

По словам президента США, одним из элементов будущего соглашения станет открытие Ормузского пролива.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",25755,15,
281721,2026-05-23T20:27:39+00:00,"**❗️До 21 выросло число погибших в Старобельске, сообщили в МЧС. Все тела извлечены из-под завалов.**

Поисковые работы завершены. По последним данным, в результате[ теракта](https://t.me/rt_russian/281679), устроенного ВСУ, пострадали 42 человека.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",31641,181,
281720,2026-05-23T20:23:32+00:00,"**«Она звала меня на помощь, но приблизился ещё один беспилотник, нанёс удар, и меня откинуло».**

Выживший во время атаки ВСУ студент колледжа в Старобельске рассказал RT, как пытался помочь своей девушке. 

Её завалило двумя плитами. Он пытался обеспечить ей доступ кислорода и откопать, но не смог вытащить из-за нового удара БПЛА. 

«Ещё один прилёт — и я нахожусь ещё ниже. То есть я поэтапно проваливался... с пятого этажа вплоть до третьего», — вспоминает студент.

Молодой человек позже узнал, что его девушка пролежала под [завалами](https://t.me/rt_russian/281679) более трёх часов. Потом её эвакуировали. 

В результате теракта, организованного ВСУ в Старобельске, погибли 18 человек, 43 пострадали. Поиски ещё троих продолжаются.

__Видео военкора RT Александра Яремчука ____@yaremshooter____.__

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",28619,68,
281719,2026-05-23T20:18:22+00:00,,30328,68,
