id,date,text,views,forwards,replies
339159,2026-05-23T23:01:22+00:00,"Cекретная служба **нейтрализовала** мужчину, который несколько раз выстрелил в сторону Белого дома, сообщает Fox News.

При перестрелке пострадал прохожий, его состояние пока не известно.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",5184,35,
339158,2026-05-23T22:51:34+00:00,"Полиция в Вашингтоне оцепила район вблизи Белого дома после стрельбы у администрации Трампа, [передает](https://ria.ru/20260524/vashington-2094344116.html) корреспондент РИА Новости.

Глава ФБР тем временем заявил, что на месте ЧП находятся сотрудники бюро.

Трамп же, судя по расписанию, в момент стрельбы был в Белом доме, это подтверждают и местные СМИ.

Чтобы не потерять связь, подписывайтесь на [канал РИА в Max](https://max.ru/ria).

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",12394,56,
339157,2026-05-23T22:21:55+00:00,"Журналисты ABC и NBC [сообщили](https://ria.ru/20260524/ssha-2094342466.html) о выстрелах возле Белого дома в Вашингтоне - ""примерно 20-30"".

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",28349,115,
339156,2026-05-23T22:16:06+00:00,"Воздушную тревогу объявили на всей Украине, в Киеве [гремят](https://ria.ru/20260524/vzryvy-2094341677.html) взрывы.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",33589,245,
339155,2026-05-23T20:45:15+00:00,"Сделка с Ираном в** значительной степени согласована**, [утверждает](https://ria.ru/20260523/tramp-2094336372.html) Трамп.

Ормузский пролив, по его словам, откроют в рамках этой сделки.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",70358,71,
339154,2026-05-23T20:30:15+00:00,"Число [погибших](https://ria.ru/20260523/mchs-2094335995.html) при ударе ВСУ в Старобельске** выросло до 21**, еще 42 человека пострадали, поисковые работы завершены.

Как сообщает МЧС России, все тела погибших извлечены из-под завалов.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",83706,325,
339153,2026-05-23T19:34:33+00:00,"Взятки на Украине давно стали нормой, а громкие антикоррупционные дела – пиаром.

О мнимой борьбе с казнокрадством в стране - в канале наших коллег из [""Украина.ру"".](https://t.me/ukr_2025_ru/312297)

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",110078,63,
339152,2026-05-23T18:13:29+00:00,"**Журналисты «со всех континентов»** [согласны отправиться](https://ria.ru/20260523/zakharova-2094327026.html?in=l) к месту удара ВСУ в ЛНР, сообщила РИА Новости официальный представитель МИД России Мария Захарова. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",152660,212,
339151,2026-05-23T18:01:11+00:00,,152305,63,
339150,2026-05-23T18:01:11+00:00,"**Спецоперация. Обстановка и **[**главные события**](https://ria.ru/20260523/spetsoperatsiya-2094299357.html)** на 23 мая: **

▪️ ВС России ударили по предприятию ВПК Украины, объектам энергетики, цехам сборки и местам хранения БПЛА дальнего действия, сообщили в Минобороны. 

▪️ ВСУ за сутки потеряли 1210 военнослужащих.

▪️ При ударе по колледжу в Старобельске в ЛНР погибли 18 человек, предварительно, еще двое находятся под завалами, сообщили в МЧС.

▪️ Би-би-си официально отказалась посещать Старобельск, а CNN в отпуске, заявила Захарова, отметив, что японским журналистам их власти также запрещают ехать на место удара ВСУ по колледжу.

▪️ Власти Киевской области потратят $250 млн на ""круговую оборону"", пишет ""Украинская правда"".

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",152447,68,
339149,2026-05-23T17:46:48+00:00,"**ВСУ в субботу непрерывно атакуют Энергодар.**

Пострадавших, к счастью, нет, сообщил мэр Пухов. Однако повреждены инфраструктура, транспортные средства и кровли домов, электричество вторые сутки [поступает](https://ria.ru/20260523/energodar-2094318542.html) от резервных источников энергии.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",138185,142,
339148,2026-05-23T17:16:55+00:00,"**Купальный сезон в Центральной России **[**начнется**](https://ria.ru/20260523/rossiya-2094293827.html)** лишь в середине июня.**

По народной традиции купаться обычно начинают после Троицы (31 мая в этом году), но прогноз погоды не обещает комфортных 18-20 градусов воды в ближайшие 2-3 недели. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",149047,139,
